LogOfAreas,Log_X_Index,Outside_X_Index,Pixels_Areas,X_Perimeter,Sum_of_Luminosity,Length_of_Conveyer,SigmoidOfAreas,Minimum_of_Luminosity,Edges_Index,Fault_Type
2.5809,1.5911,0.0287,381,42,348957,1694,0.9172,103,0.7974,Bumps
2.5832,1.1139,0.0096,383,25,41476,1356,0.9343,91,0.0754,Z_Scratch
2.2856,1.1761,0.011,193,28,21321,1358,0.5296,65,0.8088,Bumps
2.0756,0.9031,0.0059,119,14,11169,1360,0.2914,92,0.4692,Z_Scratch
1.9395,1.0792,0.0071,87,14,9136,1650,0.2432,90,0.8331,Pastry
2.0043,0.9031,0.0049,101,17,13829,1666,0.3068,132,0.9546,Dirtiness
3.7989,2.2455,0.1298,6277,253,655912,1358,1.0,36,0.0575,K_Scatch
4.062,2.2529,0.128,11535,758,1327403,1400,1.0,22,0.0586,K_Scatch
2.4314,1.0414,0.0068,270,13,28445,1698,0.7065,77,0.0486,Healthy
2.2279,0.9031,0.0059,167,22,18471,1394,0.3601,91,0.7438,Other_faults
4.0376,2.1987,0.1129,10941,795,1270726,1400,1.0,22,0.0557,K_Scatch
3.5825,2.0934,0.0912,3811,163,477354,1666,1.0,46,0.6224,K_Scatch
2.7168,1.3979,0.0148,521,49,63480,1360,0.9998,102,0.1182,Dirtiness
1.2553,0.8451,0.0052,18,5,2370,1364,0.1449,109,0.8147,Stains
2.3117,1.1139,0.0077,205,18,21556,1688,0.5822,67,0.4865,Healthy
2.1644,1.1461,0.0102,146,25,18671,1387,0.3977,77,0.1202,Healthy
3.7795,2.1847,0.1127,5261,223,601643,1356,1.0,40,0.0574,K_Scatch
1.4914,0.9542,0.0066,31,11,4606,1356,0.1322,113,0.4897,Stains
1.8751,1.3222,0.0155,75,22,9934,1356,0.3663,118,0.9231,Healthy
1.2041,0.7782,0.0044,16,8,2034,1358,0.1417,107,0.5921,Stains
1.8692,1.0414,0.0065,74,10,8602,1692,0.257,91,0.6388,Pastry
1.2041,1.3424,0.013,16,22,19691,1690,0.1622,111,0.3436,Bumps
1.8195,0.8451,0.0022,66,9,7683,1356,0.215,110,0.4468,Dirtiness
2.3222,1.2787,0.0139,210,38,26255,1362,0.4779,115,0.071,K_Scatch
3.9722,2.1644,0.105,9484,655,1084425,1400,1.0,63,0.0557,Healthy
1.2305,0.699,0.0037,17,6,2274,1356,0.1449,109,0.8809,Stains
1.5441,0.9542,0.0066,35,12,4108,1360,0.2051,120,0.8842,Stains
2.6656,0.9031,0.0059,460,12,7168,1364,0.8183,97,0.9135,Dirtiness
3.3314,1.0792,0.0088,2108,67,260241,1353,0.9999,92,0.6613,Dirtiness
2.0043,0.9031,0.0059,101,17,11535,1624,0.3285,111,0.8566,Dirtiness
2.5911,1.0792,0.0088,390,43,4019,1373,0.9537,63,0.4144,Pastry
3.1664,1.0792,0.0071,1467,18,178741,1687,0.9999,21,0.5719,Pastry
2.3284,1.0414,0.0081,213,56,22913,1364,0.8861,111,0.4136,Dirtiness
2.3139,1.0,0.0074,206,23,21216,1364,0.5822,96,0.6195,Pastry
0.7782,0.7782,0.0044,6,6,775,1652,0.1262,114,0.4326,Other_faults
2.2577,1.1461,0.0084,181,15,18075,1666,0.5822,95,0.8799,Pastry
2.1614,1.0414,0.0066,145,24,14757,1356,0.4729,97,0.4686,Other_faults
2.1139,1.1139,0.0077,130,22,12566,1356,0.4946,71,0.0024,Z_Scratch
3.7855,1.8195,0.0484,6102,188,66987,1353,1.0,96,0.137,Healthy
3.8176,2.243,0.1291,6603,286,614522,1356,1.0,41,0.0575,K_Scatch
1.8195,0.9031,0.0047,66,10,7181,1694,0.1852,87,0.1445,Bumps
2.847,1.4771,0.022,749,59,79380,1360,0.9993,104,0.5802,Dirtiness
2.4683,1.1461,0.0103,294,38,31515,1362,0.633,93,0.9031,Pastry
2.9355,2.1931,0.1113,872,266,945879,1402,1.0,61,0.9106,Healthy
3.2292,1.1139,0.0077,1620,120,185716,1306,1.0,53,0.1182,Pastry
2.0756,0.8451,0.0052,119,16,10350,1354,0.3464,84,0.0325,Other_faults
2.7566,1.2305,0.0101,571,26,59750,1373,0.9474,77,0.0188,Dirtiness
2.2304,1.3617,0.017,170,25,21545,1362,0.6236,107,0.6388,Pastry
2.2577,1.5441,0.0258,181,38,22191,1356,0.8153,114,0.2047,Healthy
2.9557,1.0414,0.0081,938,41,99671,1364,1.0,116,0.9106,Dirtiness
1.2041,0.7782,0.0044,16,6,2127,1358,0.14,107,0.9602,Stains
1.8325,0.9542,0.0066,68,9,7804,1364,0.257,110,0.9456,Dirtiness
2.1761,1.301,0.0147,150,37,19311,1362,0.7147,125,0.6662,Healthy
3.6273,2.1173,0.0941,4239,178,426267,1360,1.0,65,0.0704,K_Scatch
2.5832,1.2305,0.01,383,43,41476,1353,0.9457,106,0.2912,Pastry
2.5635,1.1139,0.0096,366,43,42862,1354,0.8901,118,0.3353,Z_Scratch
3.2634,2.1399,0.0184,1857,907,239860,1400,1.0,28,0.0014,Healthy
1.8261,1.1461,0.0083,67,14,6293,1692,0.2901,49,0.8639,Other_faults
2.5703,1.2787,0.0137,367,51,37695,1354,0.9848,112,0.0426,Z_Scratch
2.4683,1.4472,0.0544,298,36,31538,1356,0.9172,108,0.1324,Z_Scratch
2.0756,0.7782,0.0044,119,24,12886,1356,0.3509,96,0.0619,Healthy
2.0682,1.0414,0.0081,117,15,12587,1358,0.2583,89,0.8706,Bumps
1.7708,0.9031,0.0059,59,12,7446,1364,0.1622,97,0.0291,Other_faults
2.2718,0.9542,0.0066,190,24,19997,1687,0.4025,94,0.9585,Dirtiness
2.8482,1.7634,0.0427,613,72,63974,1656,0.9935,87,0.7118,Healthy
1.9138,0.9542,0.0066,82,13,9253,1656,0.215,109,0.0532,Healthy
2.1271,0.9542,0.0053,134,10,17433,1686,0.3241,102,0.6302,Healthy
2.989,1.0414,0.0081,975,67,130201,1364,0.9999,95,0.9808,Dirtiness
2.0128,1.0,0.0074,103,21,12773,1364,0.3834,92,0.0355,Dirtiness
2.7566,1.0792,0.0088,571,63,61753,1356,0.9969,109,0.1912,Z_Scratch
2.3617,1.3617,0.0169,231,31,23642,1364,0.7411,112,0.4047,Other_faults
2.4669,1.3979,0.0184,279,38,26694,1362,0.7844,122,0.9135,Bumps
1.2041,0.699,0.0037,16,6,2028,1360,0.1852,109,0.8809,Stains
2.1004,1.0792,0.0089,126,15,14323,1354,0.3977,88,0.6194,Other_faults
2.1931,0.8451,0.0052,156,25,18996,1358,0.3509,100,0.8111,Pastry
1.8692,0.9031,0.0059,74,10,7588,1387,0.2018,192,0.8331,Healthy
2.8943,1.0,0.0072,788,91,85268,1387,0.9998,93,0.0369,Dirtiness
2.6335,1.0792,0.0087,430,42,49094,1650,0.9863,106,0.1513,Healthy
2.1553,1.2553,0.0132,143,40,16076,1356,0.4089,96,0.4599,Bumps
1.7559,1.0414,0.0081,57,14,6861,1354,0.1852,91,0.0131,Z_Scratch
2.9708,1.1139,0.0096,938,49,100112,1392,0.9969,101,0.9106,K_Scatch
2.8267,1.2305,0.0136,671,37,77840,1354,0.9993,91,0.0024,Z_Scratch
1.2305,0.7782,0.0044,17,6,2267,1358,0.1353,114,0.1458,Stains
3.7977,2.243,0.1291,6181,344,699635,1358,1.0,42,0.0604,K_Scatch
2.0645,1.1761,0.0089,116,25,12317,1710,0.3509,114,0.4556,Bumps
1.0792,0.699,0.0037,12,5,1543,1360,0.1361,113,0.5882,Other_faults
3.7906,2.233,0.1259,6176,216,618846,1358,1.0,41,0.0574,K_Scatch
1.8195,0.9031,0.0047,66,9,6760,1688,0.1934,87,0.8532,Other_faults
2.0828,1.1139,0.008,121,19,12615,1623,0.257,75,0.706,Other_faults
2.0569,0.9031,0.0047,114,16,12587,1654,0.3241,71,0.4129,Healthy
2.5024,1.1761,0.0111,318,44,24172,1360,0.7966,80,0.1162,Bumps
2.1367,0.9031,0.0049,137,11,14618,1333,0.3601,108,0.0519,Healthy
4.2296,2.2504,0.1268,16968,805,1939163,1400,1.0,28,0.0586,K_Scatch
2.2923,1.2305,0.0103,196,27,19457,1394,0.5029,104,0.3137,Healthy
2.1761,1.2305,0.0125,150,18,17564,1356,0.5378,115,0.1475,Other_faults
1.9494,0.9542,0.0066,89,12,9690,1686,0.1965,93,0.7456,Bumps
2.0253,1.2305,0.0101,106,18,10923,1356,0.7776,73,0.2118,Z_Scratch
2.0414,0.9031,0.0059,110,22,13662,1364,0.3168,104,0.4088,Other_faults
3.8006,2.2504,0.1311,6008,214,674367,1358,1.0,44,0.0633,K_Scatch
1.1761,0.6021,0.003,15,6,1519,1356,0.1353,102,0.8082,Stains
1.8129,0.9031,0.0047,69,10,6884,1356,0.2051,93,0.0,Z_Scratch
2.0043,0.7782,0.0044,101,15,11126,1354,0.2942,107,0.0362,Z_Scratch
1.8325,0.9031,0.0059,68,13,6652,1686,0.2195,77,0.0071,Other_faults
2.3222,0.7782,0.0044,210,16,3202,1387,0.4025,114,0.7202,K_Scatch
1.8261,0.9031,0.0047,67,10,7181,1692,0.1852,98,0.6706,Bumps
1.9345,0.9542,0.0053,86,11,8495,1687,0.215,88,0.7101,Other_faults
1.9294,1.0,0.0074,85,14,9571,1358,0.2288,91,0.2528,Healthy
3.5218,2.1761,0.1073,3355,239,342202,1402,1.0,46,0.0585,K_Scatch
1.2553,0.8451,0.0052,18,7,2198,1354,0.1384,122,0.8612,Stains
4.0961,2.1903,0.1105,12388,205,1261668,1358,1.0,40,0.0557,K_Scatch
1.9445,1.0,0.0059,88,15,8602,1692,0.2792,90,0.1202,Healthy
1.8129,1.0,0.0061,65,13,7114,1650,0.2061,96,0.6446,Bumps
2.1703,0.8451,0.0041,148,13,14298,1698,0.3212,86,0.0325,Bumps
2.3096,1.1461,0.0103,201,25,26694,1360,0.463,110,0.4632,Dirtiness
2.3997,1.3424,0.0162,251,43,30451,1358,0.6514,115,0.9266,Other_faults
3.2969,2.1987,0.1129,1981,754,230693,1358,1.0,104,0.0843,K_Scatch
1.2305,0.9031,0.0058,17,8,2198,1358,0.1353,118,0.5088,Stains
2.4216,0.7782,0.0044,264,13,27599,1352,0.3882,102,0.0872,Dirtiness
2.0414,0.7782,0.0044,110,17,12413,1354,0.2792,111,0.0325,Other_faults
1.6021,0.7782,0.0036,40,10,4643,1688,0.1892,106,0.8687,Bumps
2.8176,1.0414,0.0066,652,34,61753,1687,0.9917,77,0.0071,Pastry
1.9731,1.1139,0.0096,94,24,10855,1356,0.2914,107,0.1711,Z_Scratch
1.2041,0.7782,0.0044,16,6,2034,1358,0.1353,117,0.5567,Stains
1.0792,0.9031,0.0059,12,8,1539,1356,0.14,123,0.1355,Stains
2.0253,1.0414,0.0081,106,19,11973,1354,0.3494,91,0.5243,Other_faults
3.7855,2.235,0.1238,6706,273,618954,1356,1.0,40,0.0575,K_Scatch
4.1453,2.233,0.1245,13975,709,1630309,1402,1.0,29,0.0556,K_Scatch
1.2305,0.7782,0.0044,17,5,2181,1358,0.14,110,0.8532,Stains
1.716,1.1139,0.0096,52,14,6554,1358,0.1965,114,0.1439,Z_Scratch
2.4683,1.1761,0.011,294,31,34564,1371,0.6268,77,0.2871,Pastry
2.2122,1.3617,0.0158,163,39,19997,1650,0.3509,115,0.7204,Bumps
2.4232,1.0414,0.0081,265,28,26566,1356,0.3834,91,0.0036,Z_Scratch
2.5832,1.5051,0.0236,383,73,41476,1358,0.9848,119,0.1856,K_Scatch
1.8865,0.8451,0.0041,77,9,8359,1658,0.1753,80,0.9401,Bumps
2.8819,1.0414,0.0081,792,57,62357,1364,0.9999,90,0.9164,Healthy
3.6915,2.1959,0.1156,4915,248,497404,1360,1.0,39,0.0573,K_Scatch
2.1761,1.0,0.0074,150,25,17100,1364,0.3601,120,0.8852,Stains
2.2648,1.2305,0.0126,184,24,18656,1354,0.3945,89,0.0502,Z_Scratch
1.0792,0.7782,0.0044,12,7,1543,1358,0.1307,122,0.2298,Stains
3.7989,2.1553,0.1044,6181,229,635284,1358,1.0,43,0.0574,K_Scatch
2.0374,1.0792,0.0088,109,15,11573,1356,0.2432,81,0.0545,Other_faults
1.716,1.2787,0.0118,52,24,6116,1360,0.2686,122,0.2872,Z_Scratch
2.1139,0.9542,0.0066,130,18,14997,1358,0.2984,93,0.6994,Pastry
2.9207,1.3424,0.0162,872,73,83716,1356,1.0,73,0.0739,Bumps
2.1614,1.0414,0.0081,145,17,14809,1358,0.417,84,0.9148,Bumps
1.2553,1.3222,0.0154,18,22,2384,1360,0.1687,120,0.7202,Stains
1.3424,1.3617,0.019,22,8,2683,1360,0.1812,118,0.732,Healthy
1.7692,1.0,0.0059,74,10,5141,1690,0.1954,90,0.9048,Other_faults
1.2041,0.8451,0.0052,16,7,2042,1358,0.124,111,0.4602,Stains
0.7782,0.7782,0.0044,6,6,718,1358,0.1449,110,0.9269,Stains
1.7559,1.2553,0.0132,57,30,6074,1358,0.2482,105,0.9632,Bumps
2.8998,1.0792,0.0088,705,18,88065,1387,0.9998,92,0.6456,Dirtiness
2.3598,1.1139,0.0077,229,20,25182,1666,0.5329,53,0.0896,Healthy
2.8482,1.3802,0.0177,657,83,66987,1354,0.9998,90,0.1474,Z_Scratch
2.2122,0.9542,0.0066,163,9,18238,1358,0.257,118,0.0,Stains
1.2305,0.9031,0.0059,17,4,2198,1358,0.1417,110,0.8809,Stains
3.8461,2.248,0.1303,7017,263,723789,1358,1.0,36,0.0574,K_Scatch
2.9207,1.3617,0.0169,822,69,96340,1364,0.9995,89,0.7709,Dirtiness
3.8335,2.2304,0.1254,6816,263,699635,1356,1.0,43,0.0605,K_Scatch
4.0961,2.1987,0.1129,12051,572,1456542,1402,1.0,33,0.0585,K_Scatch
2.301,1.0,0.0073,200,28,29002,1356,0.6619,114,0.9004,Z_Scratch
2.4281,1.2041,0.0118,268,33,30769,1356,0.8355,96,0.4272,Z_Scratch
2.2648,1.1139,0.0096,184,28,18402,1364,0.5378,105,0.1441,Dirtiness
2.1903,1.1461,0.0083,155,23,16678,1687,0.463,99,0.071,Pastry
2.0899,1.1761,0.0089,123,36,13351,1623,0.4465,145,0.721,Healthy
1.7853,1.0,0.0074,61,15,7605,1356,0.1852,104,0.4146,Z_Scratch
3.4322,1.3979,0.0185,2705,34,31551,1353,0.9236,105,0.3142,Healthy
2.0934,1.0414,0.0081,124,27,14320,1366,0.374,103,0.9106,Other_faults
1.1761,0.8451,0.0058,15,7,1808,1358,0.1687,109,0.2323,Stains
1.6532,0.8451,0.0041,45,9,4385,1692,0.1687,91,0.8789,Bumps
3.3071,1.9031,0.0544,2059,119,20264,1358,1.0,113,0.6973,Z_Scratch
2.8965,1.0414,0.0081,788,75,101875,1353,0.9977,110,0.0192,Healthy
1.2305,0.9031,0.0058,17,8,2198,1358,0.1353,118,0.5088,Stains
2.2279,1.2787,0.0095,169,38,16680,1692,0.4713,86,0.8158,Healthy
2.3201,0.9542,0.0066,209,24,17619,1696,0.4763,64,0.0221,Pastry
2.2355,1.1461,0.0102,172,26,17271,1372,0.463,79,0.3304,Healthy
1.9085,0.9031,0.0059,81,12,8123,1366,0.2288,86,0.0293,Bumps
1.415,1.3979,0.0183,26,15,3166,1694,0.1659,102,0.8687,Stains
3.6437,2.1732,0.1063,4381,182,450619,1360,1.0,45,0.0603,K_Scatch
2.4216,0.9542,0.0066,264,20,29748,1364,0.7659,103,0.9192,Dirtiness
2.0607,1.1139,0.0077,115,16,11562,1696,0.2359,67,0.1596,Other_faults
2.9499,1.3802,0.0128,872,60,83011,1687,0.9993,94,0.9146,Dirtiness
3.5071,1.3617,0.017,3234,186,342202,1362,1.0,89,0.2032,Bumps
1.716,0.7782,0.0036,52,8,6074,1358,0.215,107,0.9146,Dirtiness
1.2305,0.9031,0.0047,17,5,2157,1360,0.14,123,0.9295,Stains
2.1173,1.0414,0.0065,131,13,13678,1692,0.2432,88,0.1542,Bumps
2.4183,1.2787,0.014,258,38,29526,1356,0.6268,119,0.3338,Z_Scratch
3.7463,2.1847,0.1127,5816,297,618320,1402,1.0,49,0.0,K_Scatch
1.0792,0.6021,0.003,12,4,1504,1360,0.1322,102,0.7771,Healthy
1.7404,0.7782,0.0044,55,17,6074,1358,0.1892,102,0.1765,Pastry
2.3096,1.3802,0.0176,204,36,25309,1358,0.633,105,0.2874,Z_Scratch
2.3541,1.2041,0.0118,229,48,27037,1360,0.7933,118,0.0782,Healthy
2.3263,1.3222,0.0154,212,30,23925,1690,0.7436,84,0.4106,Bumps
1.8195,0.9031,0.0048,66,13,7836,1624,0.2105,111,0.4728,Pastry
1.9685,1.0792,0.0088,93,15,14120,1387,0.2432,148,0.9923,K_Scatch
2.0569,1.0792,0.0088,114,15,11647,1362,0.2739,84,0.8357,Bumps
2.0294,0.9031,0.0047,107,13,12094,1362,0.3601,109,0.4576,Pastry
1.2553,0.7782,0.0044,18,12,2370,1358,0.1292,107,0.0107,Dirtiness
2.3784,1.3424,0.0161,238,33,23865,1362,0.7037,77,0.1103,Bumps
3.8453,2.2304,0.1254,6454,243,659350,1356,1.0,83,0.0633,K_Scatch
1.8865,1.0,0.0074,77,14,8602,1360,0.2288,105,0.4545,Other_faults
4.0118,1.0792,0.0088,10796,573,156914,1398,1.0,55,0.0118,K_Scatch
3.8045,2.238,0.1274,6499,278,684236,1358,1.0,39,0.0604,K_Scatch
3.7943,2.2279,0.1215,6277,248,647965,1358,1.0,47,0.0574,K_Scatch
2.2253,1.0792,0.0074,168,25,16865,1356,0.5162,89,0.0426,Pastry
3.6107,2.1173,0.0963,4080,196,439881,1360,1.0,49,0.0735,K_Scatch
3.5168,2.0531,0.0875,3288,173,348957,1360,1.0,65,0.1621,K_Scatch
3.7989,2.238,0.1274,6277,276,652005,1356,1.0,40,0.0604,K_Scatch
1.8325,1.0792,0.0089,68,13,7216,1354,0.2901,80,0.3112,Z_Scratch
2.9722,1.5798,0.028,981,108,97173,1364,0.9964,86,0.2984,Bumps
1.8513,0.8451,0.0052,71,9,7842,1352,0.2532,92,0.7931,Pastry
1.8325,0.699,0.0037,68,8,7873,1358,0.1753,110,0.0325,Dirtiness
2.1399,0.9542,0.0066,138,20,14429,1360,0.4025,91,0.9337,Pastry
1.7634,1.0414,0.0065,58,14,5999,1692,0.1934,73,0.6613,Other_faults
3.2951,1.7076,0.0301,1973,184,240091,1358,1.0,115,0.0739,Z_Scratch
2.9355,1.1461,0.0101,838,50,85442,1364,0.9869,109,0.9106,Dirtiness
1.0792,0.699,0.0037,12,6,1528,1356,0.1322,113,0.5484,Stains
2.5092,1.0792,0.0071,320,37,27364,1356,0.7068,79,0.1593,Z_Scratch
1.0792,0.7782,0.0044,12,6,1509,1358,0.1353,105,0.1593,Stains
4.0402,2.1818,0.1086,10596,618,1254758,1394,1.0,40,0.0585,K_Scatch
1.7482,0.9031,0.0047,56,8,7145,1364,0.1773,125,0.8118,Dirtiness
2.7536,1.0414,0.0081,567,74,76438,1362,0.9792,64,0.5802,Healthy
2.4829,1.0792,0.0088,304,26,28320,1358,0.8513,97,0.071,Dirtiness
3.6885,1.5185,0.0243,4860,470,570911,1358,1.0,93,0.1849,Z_Scratch
2.0253,1.0792,0.0071,107,22,11776,1690,0.3241,30,0.0291,Other_faults
1.2305,0.7782,0.0044,17,9,2183,1360,0.1322,107,0.6143,Stains
2.1584,1.1761,0.0111,144,17,14429,1658,0.3068,84,0.8223,Bumps
4.0391,2.1818,0.1084,10941,685,1246740,1402,1.0,40,0.0585,K_Scatch
2.1673,1.0792,0.0088,147,18,15515,1358,0.3419,94,0.9706,Dirtiness
3.776,2.1553,0.1051,5702,178,600689,1360,1.0,38,0.1443,Healthy
1.5441,0.7782,0.0044,35,8,4606,1358,0.133,105,0.3675,Stains
3.0516,1.0414,0.0081,1183,106,51661,1354,0.9999,103,0.2278,Pastry
2.1818,0.9542,0.0066,152,20,14997,1364,0.3464,80,0.1244,Pastry
1.0,0.4771,0.0022,10,5,1063,1358,0.1441,112,0.9401,Stains
2.9978,1.3802,0.0142,995,146,110993,1664,1.0,111,0.6584,Healthy
1.0792,0.8451,0.0052,12,7,1509,1358,0.1384,109,0.1593,Stains
2.5315,1.0,0.0074,340,16,34655,1356,0.7889,77,0.0251,Z_Scratch
2.9063,1.2041,0.0095,806,47,85442,1698,0.9993,62,0.2474,Other_faults
2.1614,1.2553,0.0106,145,18,14896,1687,0.3601,93,0.0877,Pastry
1.9345,0.8451,0.0052,86,15,11608,1354,0.223,108,0.0325,Pastry
1.8261,0.9031,0.0047,67,10,7387,1698,0.1892,95,0.3614,Pastry
2.0086,1.3222,0.0124,102,28,9265,1626,0.3241,86,0.2165,Healthy
2.2504,1.0414,0.0065,178,14,20751,1687,0.3509,97,0.4531,Pastry
1.716,1.3424,0.013,52,22,6479,1362,0.1715,116,0.3436,Other_faults
1.2305,0.699,0.0037,17,5,2240,1360,0.1322,112,0.3439,Stains
1.7781,1.0,0.0074,60,15,6884,1356,0.1852,95,0.7393,Bumps
2.0607,0.9542,0.0053,115,12,11748,1692,0.2432,77,0.0236,Other_faults
2.5832,0.699,0.0037,382,29,44883,1687,0.9254,95,0.0,Dirtiness
2.7604,1.3424,0.0137,576,67,60260,1633,0.9513,119,0.3186,Other_faults
4.0965,2.1818,0.1086,12388,632,1452456,1400,1.0,35,0.0586,K_Scatch
1.7781,0.9542,0.0066,60,12,7768,1358,0.2051,118,0.6215,K_Scatch
4.1255,2.3503,0.1649,13349,740,1328712,1358,1.0,25,0.0,K_Scatch
1.5798,0.9031,0.0059,38,8,4674,1650,0.2018,102,0.1034,Pastry
2.0531,0.9542,0.0066,114,14,10915,1356,0.2532,70,0.0826,Z_Scratch
2.2068,1.2305,0.0103,161,29,17363,1666,0.5212,82,0.4493,Bumps
2.4393,1.1461,0.0085,279,18,28818,1687,0.6574,77,0.0047,Dirtiness
1.9294,0.9031,0.0047,85,16,9556,1698,0.2288,93,0.0295,Dirtiness
1.8261,0.9031,0.0047,67,10,7457,1687,0.1852,89,0.98,Pastry
0.7782,0.4771,0.0029,6,4,718,1358,0.1292,104,0.4686,Stains
2.3075,1.301,0.0147,203,52,22478,1364,0.5951,76,0.0782,Other_faults
2.6998,1.0792,0.0088,501,61,44883,1356,0.9685,75,0.0603,Pastry
2.8998,1.3222,0.0155,794,73,67901,1356,0.9998,119,0.0255,Z_Scratch
1.716,1.1139,0.0096,52,14,6554,1358,0.1965,114,0.1439,Z_Scratch
2.2279,1.3617,0.0136,169,38,20262,1360,0.5329,116,0.2625,Bumps
1.2305,0.9031,0.0059,17,9,2274,1356,0.1322,114,0.8778,Stains
1.8325,1.5185,0.0243,68,49,7553,1364,0.2288,95,0.6552,Z_Scratch
3.7863,2.1903,0.1156,6117,303,614522,1356,1.0,49,0.0574,K_Scatch
2.4232,1.6902,0.036,265,91,32153,1360,0.9718,114,0.2068,Z_Scratch
1.8808,0.7782,0.0044,76,9,7254,1358,0.1852,99,0.7227,Other_faults
2.2304,1.5315,0.0249,170,48,22467,1362,0.6868,118,0.4106,Other_faults
2.4579,1.0792,0.0088,288,35,30229,1364,0.6648,113,0.4302,Healthy
1.7482,0.699,0.0037,56,8,5729,1692,0.1892,95,0.9029,Pastry
3.5636,2.0756,0.0875,3661,157,380538,1360,1.0,35,0.069,K_Scatch
1.2041,0.7782,0.0044,16,8,2069,1358,0.1449,114,0.9808,Stains
2.3979,1.4472,0.0206,250,59,34165,1356,0.6514,114,0.2015,Z_Scratch
2.2624,1.0792,0.0089,183,22,19652,1690,0.417,96,0.5243,Healthy
2.941,1.415,0.0192,872,136,93355,1353,0.9999,92,0.0896,Other_faults
1.8195,0.8451,0.0052,66,16,9996,1353,0.1822,151,0.6906,Healthy
2.0969,1.3979,0.0185,125,31,12602,1364,0.4514,89,0.4106,Bumps
1.2553,0.6021,0.0029,18,6,2280,1360,0.1292,105,0.8118,Stains
1.8513,0.8451,0.0052,71,9,7842,1352,0.2532,92,0.7931,Pastry
1.716,0.9031,0.0059,52,9,5141,1360,0.1773,66,0.8693,Healthy
2.0569,0.9542,0.0053,114,15,11803,1694,0.2432,84,0.6638,Bumps
2.3201,1.1761,0.0111,209,18,18720,1354,0.633,90,0.5204,Z_Scratch
3.6992,2.0531,0.0822,3455,730,379668,1353,0.9998,100,0.1399,K_Scatch
2.3117,1.1139,0.0096,205,25,23023,1360,0.5378,97,0.5987,Pastry
2.0043,1.2305,0.0125,101,28,13352,1362,0.5378,123,0.1272,Dirtiness
2.0719,0.9542,0.0055,118,13,14118,1626,0.2914,91,0.0291,Other_faults
2.0934,1.1761,0.011,124,18,13505,1374,0.3509,104,0.3559,Dirtiness
1.7404,0.9542,0.0066,55,10,4561,1358,0.2288,77,0.6426,Bumps
1.7076,0.8451,0.0041,51,8,4695,1686,0.1753,64,0.0047,Pastry
2.0828,1.1139,0.0096,121,16,14032,1356,0.2914,107,0.9456,Healthy
